"rank","judul","tahun","episode","network","umur","sinopsis","genre","tags","rating","funfact"
"11","Mother","2018","16","tvN, Vidio, Amazon Prime Video","15+","Mengisahkan tentang seorang guru dan seorang anak yang selalu dianiaya oleh ibu kandungnya. Namun, akhirnya guru tersebut bersedia menjadi ibu pengganti dari si anak tersebut dalam rangka untuk lebih memenuhi tanggung jawab guru dan masa depan anak tersebut.","Suspense,  Mystery,  Psychological,  Family,  Melo","Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Child, Motherhood, Psychopath","9","Drama ini merupakan garapan ulang atau remake dari serial TV Jepang NTV dengan judul yang sama dan tayang pada 2010 silam."
"12","Vincenzo","2021","20","tvN,  Netflix ","15+","Mengisahkan tentang Park Joo Hyung alias Vincenzo Cassano yang diadopsi dan pindah ke Italia sejak berusia delapan tahun. Ia menjadi pengacara andal sekaligus tangan kanan mafia. Karena terjadi pertengkaran besar antar kelompok mafia di Italia, ia melarikan diri ke Korea Selatan untuk mengambil emas yang tersembunyi di sebuah gedung bernama Geumga-dong, dan ia juga terlibat dengan pengacara Hong Cha Young. Ia adalah tipe pengacara yang akan melakukan apa saja untuk memenangkan sebuah kasus. Vincenzo dan Hong Cha Young bekerja sama untuk menangkap penjahat dan mendapatkan haknya.","Comedy,  Law,  Crime,  Drama ","Lawyer, Revenge, Mafia, Smart Male Lead, Eccentric Female Lead, Injustice, Competent Protagonist, Charming Male Lead, Father-Daughter Relationship, Funny Female Lead","9","Vincenzo berhasil mencapai rating keenam tertinggi dalam sejarah tvN, setelah drama Crash Landing on You, Goblin, Reply 1988, Mr. Sunshine dan terbarunya Mr. Queen."
"13","SKY Castle","2018","20","jTBC, Netflix, WeTV, Viki","15+","Mengisahkan tentang kehidupan konglomerat di Korea Selatan yang saling bersaing demi kesuksesan keluarganya masing-masing. Mereka tinggal di Sky Castle, lingkungan mewah dengan profesi dokter dan profesor kaya. Selain mendidik anak-anaknya seperti putra-putri kerajaan, semua wanita juga mendorong para suami untuk tidak terkalahkan dengan anggota Sky Castle lainnya.","Mystery,  Psychological,  Drama,  Family ","Multiple Mains, Social Commentary, Sibling, Makjang, Medical, Social Satire, Female Centered Plot, Satire, Mother-Daughter Relationship, Death","9","Episode pertama drama ini hanya mampu meraih rating sebesar 1,7 persen secara nasional. Namun, berkat jalan ceritanya yang menarik serta menegangkan, drama ini meraih rating tertinggi di stasiun TV JTBC."
"14","Crash Landing on You","2019","16","tvN, Netflix ","15+","Setelah mengalami kecelakaan paralayang, pewaris Korea Selatan Yoon Se Ri jatuh di Korea Utara. Di sana, ia bertemu dengan perwira tentara Korea Utara Ri Jung Hyuk, yang setuju untuk membantunya kembali ke Korea Selatan. Terlepas dari ketegangan antara negara mereka, keduanya mulai saling jatuh cinta. Namun cinta mereka terhalang oleh perbedaan yang begitu besar.","Military,  Comedy,  Romance,  Drama,  Political ","North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Soldier, Rich Female Lead, Calm Male Lead, Fate, North Korean","9","Drama ini mengambil setting tempat di antara Korea Selatan dan Korea Utara. Di dalam drama ini terlihat perbedaan kehidupan di dua negara ini. Selain itu, mereka juga melakukan syuting di Swiss."
"15","Kingdom 2","2020","6","Netflix","18+","Mengisahkan seorang Putra Mahkota yang dikirim ke sebuah misi bunuh diri, yang mana ia harus menginvestigasi sebuah wabah misterius yang menyebar di negeri mereka. Putra Mahkota yang diperankan oleh Joo Ji Hoon ini kemudian menemukan fakta kalau wabah yang menyebar ini ternyata berbentuk zombie. Tentu saja tidak mudah perjuangannya untuk mengalahkan zombie-zombie yang semakin banyak tersebut. Belum lagi berbagai politik kerajaan yang harus dihadapinya.","Thriller,  Historical,  Horror,  Zombies ","Strong Female Lead, Corruption, Strong Male Lead, Smart Female Lead, Gore, Greed, Power Struggle, Prince Lead, Pre-produced, Palace Politics","8.9","Kingdom merupakan drama Korea original pertama Netflix. Sang penulis naskah membutuhkan waktu hingga 8 tahun dengan budget yang fantastis, yakni 1,7 juta dolar AS atau sekitar 26 juta rupiah per episodenya."
"16","Healer","2014","20","Netflix, iQIYI, Vidio, Viu","15+","Seo Jung Hoo adalah pengantar pesan rahasia khusus, yang hanya dikenal sebagai ""Healer"" oleh kliennya. Dengan harga yang tepat dan dengan bantuan seorang peretas jenius, dia mendapatkan kliennya apa pun yang mereka inginkan, selama itu tidak melibatkan pembunuhan. Pekerjaan terakhirnya membawanya ke penulis tabloid kelas dua, Chae Young Shin, dan reporter sukses, Kim Moon Ho. Dia mulai mengungkap misteri masa lalunya sendiri dengan dua reporter, sehingga menempatkan mereka semua dalam bahaya.","Action,  Thriller,  Mystery,  Comedy,  Romance,  D","Double Identity, Hidden Identity, Childish Female Lead, Strong Male Lead, Secret, Fight, Sassy Female Lead, Reporter, Hardworking Female Lead, Trauma","8.9","Healer memenangkan nominasi Best Korea Drama-Melodrama dalam penghargaan Annual Drama Fever Awards ke-4.

Sedangkan pemeran utamanya yaitu Ji Chan Wook dan Chae Young Shin memenangkan nominasi Best Couple pada penghargaan Annual Drama Fever Awards ke-4 dan KBS Drama Awards 2014."
"17","Mr. Sunshine","2018","24","tvN, Netflix","15+","Menceritakan tentang seorang anak laki-laki yang lahir dalam keluarga pembantu rumah tangga dan melakukan perjalanan ke Amerika Serikat selama tahun 1871 Shinmiyangyo (ekspedisi AS ke Korea). Dia kembali ke tanah airnya nanti sebagai perwira marinir AS. Dia bertemu dan jatuh cinta dengan putri seorang bangsawan. Pada saat yang sama, ia menemukan plot oleh pasukan asing untuk menjajah Korea.","Action,  Military,  Historical,  Romance,  Drama, ","Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Mature Protagonist, Soldier, Foreigner, Rebellion, Japanese Colonial Rule","8.9","Mr. Sunshine termasuk salah satu drama dengan biaya fantastis yang diproduksi saat itu, yakni mencapai 38,5 Juta USD atau sekitar 547 miliar rupiah."
"18","Stranger","2017","16","tvN, Netflix ","15+","Hwang Si Mok (Cho Seung Woo) menjalani operasi otak ketika dia masih kecil dan menyebabkan ia menjadi sosok yang dingin dan tidak bisa merasakan emosi serta berempati. Hwang Si Mok dewasa kemudian bekerja menjadi seorang jaksa yag rasional, dingin, namun juga kesepian. Dia juga satu-satunya jaksa yang tidak terlibat korupsi di kantornya.

Suatu hari, ia bertemu dengan korban penusukan saat menyelidiki korupsi. Ia bertemu Letnan Han Yeo Jin di TKP. Mereka bergabung untuk membasmi korupsi di kantor kejaksaan dan memecahkan kasus pembunuhan berantai.","Thriller,  Law,  Crime,  Drama ","Suspense, Corruption, Murder, Prosecutor, Detective, Crime Solving Duo, Calm Male Lead, Alexithymia, Strong Female Lead, Smart Female Lead","8.9","Stranger berhasil menyabet gelar Daesang atau Grand Prize pada penghargaan bergengsi 54th Baeksang Arts Awards dan masuk ke dalam jajaran 10 drama internasional terbaik versi New York Times pada tahun 2017."
"19","Goblin","2016","16","tvN, Netflix, Vidio, Viu","15+","Kim Shin pernah menjadi jenderal tak terkalahkan di militer Goryeo yang meninggal secara tragis. Ia sekarang memiliki keabadian tetapi lelah hidup sementara semua orang di sekitarnya mati. Selama 900 tahun, Kim Shin telah mencari pengantinnya, seorang manusia yang bisa mencabut pedang dan mengakhiri hidupnya. 

Suatu hari, ia bertemu Ji Eun Tak, seorang siswa sekolah menengah yang positif dan optimis yang dapat melihat orang mati dan telah melalui peristiwa tragis, namun masih tetap kuat. Dia mengaku sebagai pengantin Goblin yang dapat mengakhiri hidup abadi, tapi apa yang tampaknya menjadi tugas yang mudah, hanya menjadi rumit, karena keduanya jatuh cinta.","Comedy,  Romance,  Fantasy,  Melodrama,  Supernatu","Supernatural, Older Man/Younger Woman, Grim Reaper, Interspecies Romance, Age Gap, Dokkaebi, Fate, Tearjerker, Bromance, Heartfelt","8.9","Gong Yoo dalam drama ini mengenakan 182 pakaian, belum termasuk kostum era kerajaan. Ia pun harus berganti pakaian sebanyak 11 kali setiap episodenya. 

Bayaran untuk jadi figuran di Goblin cukup lumayan, sehari menjadi figuran mendapat bayaran 130.000 won atau sekitar Rp 1,47 juta."
"20","The Uncanny Counter","2020","16","OCN,  Netflix","15+","Bercerita tentang pemburu iblis bernama Counters yang datang ke bumi dengan kedok menjadi karyawan di sebuah restoran mie untuk menangkap roh-roh jahat yang telah kembali ke bumi untuk mengejar kehidupan abadi.","Action,  Mystery,  Drama,  Supernatural ","Special Power, Righteous Male Lead, Death Of Parents, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma","8.8","Drama ini merupakan adaptasi webtoon karya Jang Yi berjudul Kyeongirowoon Somoon yang sangat populer pada 2018 saat pertama kali dipublikasikan."
"21","The Penthouse 2","2021","13","SBS, Vidio, Viu","15+","Setelah berhasil menjebak Oh Yoon Hee, Cheon Seo Jin dan Joo Dan Tae memutuskan untuk menikah. Pesta pertunangan mereka diganggu oleh Oh Yoon Hee dan Ha Yoon Cheol, yang baru saja kembali dari Amerika Serikat. Saat rahasia terungkap, hubungan di antara orang-orang di Istana Hera terjerat, namun sosok misterius lain muncul dan menghadapi mereka.","Suspense,  Thriller,  Crime,  Drama,  Family ","Makjang, Revenge, High Class Society, Female Centered Plot, Greed, Multiple Mains, Infidelity, Murder, Family Relationship, Betrayal","8.8","The Penthouse 2 hanya perlu dua episode untuk bisa meraih rating lebih dari 20 persen."
"22","Life on Mars","2018","16","OCN","15+","Han Tae Joo (Jung Kyung Ho), seorang detektif pintar yang punya prinsip kuat, tiba-tiba terbangun dan berada di tahun 1988 dengan keadaan hilang ingatan. Ia aslinya berasal dari tahun 2018. Ia sekarang adalah seorang detektif yang ditunjuk untuk bekerja di sebuah kantor polisi di sebuah kota kecil. Untuk kembali ke masa sekarang, Han Tae Joo mencoba menyelesaikan kasusnya.","Action,  Mystery,  Psychological,  Comedy,  Drama,","1980s, Bromance, Police Procedural, Calm Male Lead, Strong Friendship, Police Officer, Smart Male Lead, Slight Romance, Strong Female Lead, Hallucination","8.8","Life on Mars diadaptasi dari serial televisi asal Inggris berjudul sama yang tayang pada tahun 2006-2007."
"23","Weightlifting Fairy ","2016","16","iQIYI, Netflix, Vidio, Viu","15+","Drama ini berfokus pada keseharian seorang gadis bernama Kim Bok Joo yang jatuh cinta untuk pertama kalinya. Ia berumur 20 tahun dan merupakan seorang atlet angkat besi yang bermimpi memenangkan medali emas. Drama ini mencakup kisah dan hubungan masa depan mereka melalui kehidupan yang sibuk sesama atlet.","Friendship,  Comedy,  Romance,  School,  Youth,  S","College Life, Dream, Friends To Lovers, Weightlifting, Strong Female Lead, Bantering Relationship, Male Chases Female First, Tomboy, Sismance, Swimming","8.8","Serial drama ini terinspirasi dari atlet angkat besi asal Korea Selatan bernama Jang Mi Ran yang memenangkan medali emas pada ajang Olimpiade Musim Panas Beijing 2008. 

Kedua pemeran utama Lee Sung Kyung dan Nam Joo Hyuk dikonfirmasi berkencan pada April 2017."
"24","Kingdom","2019","6","Netflix","18+","Bercerita mengenai serangan zombie yang terjadi di jaman Joseon. Awalnya, setelah 10 hari berlalu sejak Raja jatuh sakit, rumor kematiannya dimulai. Klan Cho, klan Ratu yang sedang hamil dan ayahnya, Kepala Penasihat Negara Cho Hak Joo, menyatakan Putra Mahkota sebagai pengkhianat karena mempertanyakan keadaan seputar kematian Raja.","Thriller,  Historical,  Horror,  Zombies ","Joseon Dynasty, Power Struggle, Adapted From A Webtoon, Gore, Nice Male Lead, Strong Male Lead, Prince Lead, Corruption, Survival, Doctor","8.8","Drama ini diadaptasi dari sebuah webtoon populer berjudul “Burning Hell Shinui Nara” karya Kim Eun Hee dan Yang Kyung Ill yang dipublikasikan pada 23 Juli 2013. Saat itu, aktor Song Joong Ki ditawari sebagai pemeran utama dalam drama ini, namun ia menolaknya."
"25","The Penthouse","2020","21","SBS, Netflix, Vidio, Viu","15+","Penghuni Istana Hera, apartemen penthouse mewah dengan 100 lantai, memiliki banyak rahasia dan ambisi tersembunyi. Sim Su Ryeon, yang terlahir dalam kekayaan, adalah ratu apartemen penthouse. Cheon Seo Jin, primadona kediaman, melakukan semua yang ia bisa untuk memberikan segalanya kepada putrinya. Oh Yoon Hee berasal dari latar belakang keluarga miskin, tetapi ia berusaha memasuki masyarakat kelas atas dengan menjadi ratu penthouse, puncak kesuksesan di matanya. 

Pertarungan untuk kekayaan, kekuasaan, dan prestise di penthouse paling didambakan di Seoul dimulai.","Suspense,  Thriller,  Crime,  Drama,  Family ","Makjang, Greed, Revenge, Married Couple, Multiple Mains, Betrayal, Jealousy, Female Centered Plot, Opera Singer, Twins","8.8","Hera Palace yang diceritakan berada di kawasan Samseong-dong, Gangnam-gu, sebenarnya tidak nyata alias dibuat dengan teknologi komputer."
"26","Sweet Home","2020","10","Netflix","18+","Setelah kematian keluarganya dalam kecelakaan, Cha Hyun Soo si penyendiri pindah ke apartemen baru. Kehidupannya yang tenang, tiba-tiba terganggu oleh insiden aneh yang mulai terjadi di apartemennya, dan di seluruh Korea. Saat orang-orang mulai berubah menjadi monster, Hyun Soo dan penduduk lainnya mencoba bertahan.","Action,  Thriller,  Horror,  Psychological,  Drama","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, School Bullying, Attempted Suicide, Trauma, Multiple Mains","8.8","Tim produksi Sweet Home menggandeng Legacy Effects dan Spectral Motion yang merupakan studio special effects terbaik di Hollywood. Teknologi yang digunakan untuk animasi dan efek dari Sweet Home sendiri pun diadopsi dari teknologi film blockbuster ternama seperti Game of Thrones dan Aquaman."
"27","Beyond Evil","2021","16","jTBC, Viu ","15+","Menceritakan tentang mantan detektif hebat bernama Lee Dong Sik (Shin Ha Kyun) dan Han Joo Won (Yeo Jin Goo). Mereka adalah pria yang tak kenal takut dan berusaha keras dalam mengejar pembunuh berantai yang telah mengguncang kota mereka yang tenang.","Thriller,  Mystery,  Psychological,  Drama ","Suspense, Murder, Wrongfully Accused, Police, Trauma, Psychological Manipulation, Smart Male Lead, Determined Male Lead, Serial Killer, Detective","8.8","Beyond Evil digarap oleh sutradara perempuan bernama Shim Nayeon."
"28","18 Again","2020","16","jTBC, iQIYI, Netflix, Vidio, Viu","15+","Mengisahkan seorang suami bernama Hong Dae Young yang berumur 37 tahun, tiba-tiba kembali ke masa jayanya, tepat pada umur 18 tahun sebelum adanya perselisihan hingga perceraian dengan istrinya, Jung Da Jung. Walaupun wujudnya kembali muda, pikirannya masih sama seperti dirinya yang telah berusia 37 tahun. Ia berusaha mengubah namanya menjadi Go Woo-Young dan menjalankan kehidupan barunya yang luar biasa dan berusaha memperbaiki hubungannya dengan Jung Da Jung.","Comedy,  Romance,  Life,  Youth,  Drama,  Fantasy ","Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship","8.8","Drama ini diadaptasi dari film Hollywood berjudul 17 Again yang tayang pada tahun 2009 dan dibintangi oleh Matthew Perry, Zac Efron, hingga Leslie Mann."
"29","The Guest","2018","16","OCN","18+","Yoon Hwa Pyung, seorang paranormal muda yang lahir dalam keluarga dukun, belajar tentang iblis kuat yang disebut ""Son/anak"" (Tamu). Iblis memiliki kekuatan untuk mengendalikan iblis lain dan memungkinkan mereka untuk merasuki orang yang lemah. Orang-orang yang kerasukan kemudian menjadi gila, membunuh keluarga mereka, dan menusuk mata mereka sendiri. Nasibnya, Hwa Pyung, Choi Yoon; seorang anak laki-laki yang lahir dalam keluarga Katolik yang religius, dan Kang Kil Yeong; putri seorang detektif, bertemu ketika keluarga mereka dibunuh oleh iblis.","Thriller,  Mystery,  Horror,  Supernatural ","Exorcism, Death, Demon, Possessed, Shamanism, Murder, Psychic, Strong Female Lead, Priest, Policewoman","8.8","Digarap oleh sutradara handal yaitu Kim Hong-Sun yang telah menggarap berbagai drama maupun film layar lebar genre misteri dan kriminal, seperti drama ""Black"" dan ""Voice"", selain itu film layar lebar ""The Age of Blood""."
"30","Taxi Driver","2021","16","SBS, Netflix, Vidio, Viu","18+","Mengisahkan tentang Kim Do Ki (pemain Lee Je Hoon), seorang lulusan akademi Angkatan Laut Korea Selatan yang menjadi anggota militer. Hidupnya berubah setelah ibunya meninggal secara tragis dibunuh pembunuh berantai. Kim Do Ki menjadi seorang pengemudi taksi mewah untuk orang-orang yang ingin membalaskan dendamnya pada para penjahat. Setiap episode, drama ini menghadirkan kisah balas dendam yang berbeda-beda.","Action,  Suspense,  Thriller,  Mystery,  Crime,  D","Adapted From A Webtoon, Revenge, Taxi, Strong Male Lead, Prosecutor, Tragic Past, Secret Organization, Smart Female Lead, Taxi Driver, Death Of A Parent","8.8","Menjadi Drakor dengan rating tertinggi di awal dan akhir penayangan, juga menempati posisi ke-4 untuk drama dengan rating tertinggi dari kanal SBS."
"31","Six Flying Dragons","2015","50","SBS","15+","Berlatar masa-masa surutnya Dinasti Goryeo, drama ini menggambarkan kehidupan dan aspirasi enam karakter dalam membangun negara baru bernama Joseon, dengan Lee Bang Won sebagai tokoh sentral. Sebuah perpaduan antara segeuk dan fiksi, cerita ini mengikuti konflik 'Six Playing Dragons' dengan kekuatan yang tertanam pada diri mereka ketika mereka berusaha untuk mewujudkan mimpi yang mereka semua bagikan dari sebuah negara baru yang didirikan berdasarkan prinsip-prinsip Konfusian, yang pada akhirnya akan bertahan lama, selama 500 tahun.","Action,  Historical,  Drama,  Martial Arts,  Polit","Revolution, Power Struggle, Political Intrigue, Sword-fight, Taejong, Scheme, Taejo, Morally Ambiguous Lead, Smart Male Lead, Goryeo Dynasty","8.8","Drama ini sempat mengundang kontroversi karena adanya adegan yang menampilkan pemerkosaan terhadap anak di bawah umur. Pihak 'Six Flying Dragons' memberikan penjelasan bahwa adegan tersebut memang penting sebagai sebuah titik tolak perubahan psikologis karakter yang ada."
"32","Chicago Typewriter","2017","16","tvN, Viu","15+","Bercerita tentang seorang penulis terkenal yang kembali terhubung dengan masa lalunya setelah mendapat mesin tik tua. Penulis yang hidup di masa pemerintahan Jepang tahun 1930 yang bereinkernasi menjadi seorang penulis buku laris (best seller), namun saat ini sedang mengalami kemerosotan.","Friendship,  Mystery,  Comedy,  Romance,  Supernat","Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past","8.8","Karakter Jeon Seol yang diperankan oleh Im Soo-jung dikabarkan pernah ditawarkan ke aktris cantik Park Shin-hye (The Heirs, Doctors)."
